Année;Département;Matière;IPS moyen;Score moyen;Ecart type;groupe 1;groupe 2;groupe 3;groupe 4;groupe 5;groupe 6
2023;VOSGES;Français;99.3;246.7;45.1;14.4;18.5;23.0;19.1;12.9;12.0
2023;YONNE;Français;100.2;242.3;46.1;16.9;20.3;22.4;17.9;11.0;11.5
2023;ALPES-DE-HAUTE-PROVENCE;Mathématiques;106.8;245.9;46.8;13.6;23.1;22.2;18.1;11.0;12.0
2023;ARDENNES;Mathématiques;94.5;243.0;44.5;15.5;21.4;24.1;17.0;11.7;10.4
2023;BOUCHES-DU-RHONE;Mathématiques;106.1;246.0;50.1;16.4;20.4;21.3;16.7;11.4;13.8
2023;CHER;Mathématiques;99.0;247.6;46.1;13.4;20.0;23.7;18.6;11.6;12.7
2023;DEUX-SEVRES;Mathématiques;105.2;249.2;45.7;11.8;20.2;23.2;19.5;12.2;13.1
2023;DOUBS;Mathématiques;100.4;256.2;48.6;10.0;17.4;21.6;19.8;13.8;17.4
2023;EURE;Mathématiques;101.5;242.7;44.9;14.6;23.4;24.0;17.6;10.1;10.4
2023;GARD;Mathématiques;103.2;245.6;46.0;14.0;20.8;24.1;18.5;10.9;11.7
2023;INDRE;Mathématiques;96.0;248.3;45.8;12.9;19.9;23.6;18.6;12.0;13.1
2023;JURA;Mathématiques;101.3;252.6;45.9;10.6;18.7;23.3;19.3;14.0;14.1
2023;LANDES;Mathématiques;105.2;254.5;45.6;9.5;17.1;22.7;21.0;14.5;15.3
2023;LOIRE;Mathématiques;101.9;251.8;47.8;11.5;19.1;22.5;19.3;12.6;15.0
2023;MAINE-ET-LOIRE;Mathématiques;107.2;258.4;48.3;9.1;15.7;21.5;21.1;14.8;17.8
2023;MOSELLE;Mathématiques;99.6;252.7;48.2;11.8;18.3;21.9;19.6;12.9;15.6
2023;PYRENEES-ORIENTALES;Mathématiques;99.2;243.2;45.1;14.3;22.9;23.8;17.2;11.3;10.5
2023;SAINT-BARTHELEMY;Mathématiques;;262.2;48.0;7.7;17.6;15.4;18.7;19.8;20.9
2023;SARTHE;Mathématiques;102.3;249.1;47.2;13.6;18.4;22.9;18.7;12.4;14.1
2023;ST-PIERRE-ET-MIQUELON;Mathématiques;112.0;261.0;50.0;9.0;16.4;23.9;16.4;10.4;23.9
2023;VAL-D'OISE;Mathématiques;104.0;239.1;46.9;19.2;23.0;21.9;15.8;9.8;10.2
2023;VAUCLUSE;Mathématiques;99.9;244.1;47.0;15.7;20.9;23.5;17.5;11.0;11.5
2023;VENDEE;Mathématiques;105.3;262.1;47.8;7.1;14.3;22.6;20.7;15.4;20.1
2023;VOSGES;Mathématiques;99.3;252.1;47.0;11.8;18.3;22.7;18.9;13.6;14.7
2023;AISNE;Français;93.8;240.5;46.6;19.6;19.6;22.0;16.9;11.3;10.5
2023;ARDECHE;Français;104.2;254.7;47.3;11.3;15.9;21.0;20.3;14.8;16.7
2023;CORSE-DU-SUD;Français;102.7;249.9;46.8;13.7;17.4;22.5;19.2;12.9;14.3
2023;COTES D'ARMOR;Français;106.8;253.8;45.7;10.9;15.8;22.3;20.9;14.8;15.2
2023;ESSONNE;Français;109.1;247.6;49.8;17.0;17.8;20.1;17.4;12.9;14.8
2023;EURE-ET-LOIR;Français;103.8;244.8;45.3;15.8;19.3;22.2;19.2;12.2;11.3
2023;GERS;Français;108.9;254.6;49.3;12.9;16.9;19.1;19.1;14.7;17.4
2023;GUADELOUPE;Français;96.8;232.1;47.4;26.1;21.5;18.8;15.6;9.7;8.4
2023;HAUTE-CORSE;Français;100.9;246.7;43.5;12.6;19.2;24.4;19.4;13.1;11.3
2023;HAUTE-MARNE;Français;94.3;242.8;43.5;15.2;21.3;23.2;19.2;11.1;10.0
2023;HAUTE-VIENNE;Français;105.2;252.3;48.8;13.5;16.8;20.7;19.1;13.9;16.1
2023;LOIRET;Français;102.0;246.7;46.5;15.2;18.6;21.6;18.7;12.8;13.0
2023;LOT;Français;105.6;257.8;49.4;11.1;14.6;19.0;21.0;15.1;19.3
2023;LOT-ET-GARONNE;Français;98.5;243.6;45.6;16.7;18.9;22.4;18.8;11.9;11.3
2023;MARNE;Français;102.4;250.9;48.5;14.2;17.0;21.2;18.8;13.3;15.5
2023;MARTINIQUE;Français;101.3;236.2;48.6;24.2;19.8;19.1;15.7;11.2;10.0
2023;MAYENNE;Français;102.5;249.1;44.5;12.0;19.3;22.8;19.2;13.9;12.7
2023;MAYOTTE;Français;70.0;183.0;39.0;73.2;14.0;7.1;3.5;1.4;0.9
2023;MEUSE;Français;96.6;244.2;45.9;15.8;20.0;21.9;18.8;11.5;12.0
2023;NATIONAL;Français;105.9;250.0;50.0;15.3;17.1;20.3;18.2;13.3;15.7
2023;NIEVRE;Français;100.8;247.2;45.0;13.4;19.6;22.3;18.9;14.0;11.8
2023;SAINT-BARTHELEMY;Français;;259.0;48.3;7.4;12.8;24.5;26.6;10.6;18.1
2023;SARTHE;Français;102.3;246.6;47.8;15.7;17.9;21.8;18.3;13.1;13.2
2023;TERRITOIRE DE BELFORT;Français;102.4;251.3;47.8;13.5;16.5;22.6;19.0;12.7;15.6
