Rentree_Scolaire,Region,Academie,Departement,Commune,Numero_Du_College,Denomination_Principale,Patronyme,Secteur,Nombre_D_Eleves_Total,PRIVE,PUBLIC,priporitaire
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,ROUEN,0762178E,COLLEGE,BARBEY D'AUREVILLY,PUBLIC,538,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,SAINT-ETIENNE-DU-ROUVRAY,0761647C,COLLEGE,PAUL ELUARD,PUBLIC,405,0,1,1
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,SAINT-ETIENNE-DU-ROUVRAY,0762132E,COLLEGE,ROBESPIERRE,PUBLIC,256,0,1,1
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,SOTTEVILLE-LES-ROUEN,0761691A,COLLEGE,EMILE ZOLA,PUBLIC,759,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,TERRES-DE-CAUX,0760034Z,COLLEGE,FRANCOIS VILLON,PUBLIC,460,0,1,0
2022,NORMANDIE,NORMANDIE,SEINE MARITIME,YVETOT,0762880T,LYCEE POLYVALENT,RAYMOND QUENEAU,PUBLIC,24,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,ANNESSE-ET-BEAULIEU,0240997D,COLLEGE,LA ROCHE BEAULIEU,PUBLIC,259,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,BEAUMONTOIS EN PERIGORD,0240001W,COLLEGE,LEO TESTUT,PUBLIC,245,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,BERGERAC,0240094X,LYCEE PROFESSIONNEL PRIVE,STE MARTHE - ST FRONT,PRIVE,30,1,0,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,BERGERAC,0240996C,COLLEGE,JACQUES PREVERT,PUBLIC,496,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,COULAURES,0240012H,LYCEE PROFESSIONNEL,CHARDEUIL METIERS DU BATIMENT,PUBLIC,16,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,DORDOGNE,LA FORCE,0240053C,COLLEGE,MAX BRAMERIE,PUBLIC,550,0,1,0
